uid,model,params_b,size_bucket,dataset,variant,prompt_language,eid,faithfulness_stratum,triples,sentence,judge_faithfulness_score,judge_incorrect_information
gemma4-31B__sk-qa_cf_hsb__Id40,gemma4-31B,30.7,medium,sk-qa,cf,hsb,Id40,5,- Galanta | mergedWith | Šaštín,Galanta běstła ze Šaštín.,5,[]
llama4-scout-openrouter__sk-qa_fa_hsb__Id109,llama4-scout-openrouter,17.0,medium,sk-qa,fa,hsb,Id109,2-4,- Jozef Ľudovít Miloslav Hurban | isFirstChairmanOf | Slovenská národná rada,Jozef Ľudovít Miloslav Hurban je předsedom Slovenské národnej rady.,4,"[{""info_used"": ""je předsedom"", ""correct_info"": ""Jozef Ľudovít Miloslav Hurban | isFirstChairmanOf | Slovenská národná rada"", ""comment"": ""wrong_predicate: 'je předsedom' (is chairman) is not equivalent to 'isFirstChairmanOf' (is the first chairman of)""}]"
gpt-oss-120b__cs-qa_fa_hsb__Id473,gpt-oss-120b,117.0,large,cs-qa,fa,hsb,Id473,2-4,"- legenda | describesEvent | zabil svatého Václava
- Boleslav | relationship | bratr svatého Václava
- Boleslav | hasAssociates | jeho družina
- Boleslav se svoji družinou | action | zabil
- zabil | object | svatý Václav","Legenda wopisuje podawk, zo Boleslav ma wotnoski brata svatého Václava, ma sobuskutkowacych swoju družinu a z mje swoju družinu zabił svatého Václava.",2,"[{""info_used"": ""Boleslav ma wotnoski brata svatého Václava"", ""correct_info"": ""Boleslav | relationship | bratr svatého Václava"", ""comment"": ""unsupported: 'ma wotnoski brata' (has relations of brother) is not equivalent to 'relationship | bratr' (is brother); the triple states Boleslav is the brother, not that he has brotherly relations.""}, {""info_used"": ""ma sobuskutkowacych swoju družinu"", ""correct_info"": ""Boleslav | hasAssociates | jeho družina"", ""comment"": ""unsupported: 'ma sobuskutkowacych swoju družinu' (has his retinue as co-actors) adds the unsupported notion of co-acting; the triple only states he has associates (his retinue).""}, {""info_used"": ""z mje swoju družinu zabił svatého Václava"", ""correct_info"": ""Boleslav se svoji družinou | action | zabil ; zabil | object | svatý Václav"", ""comment"": ""unsupported: 'z mje swoju družinu' is garbled/unsupported; the triple states Boleslav with his retinue killed, but the sentence phrasing is not a faithful rendering.""}]"
gemma4-e4b__sk-qa_fa_hsb__Id28,gemma4-e4b,8.0,small,sk-qa,fa,hsb,Id28,5,- Múzeum obetí komunizmu | locatedIn | Košice,Múzeum obetí komunizmu je u Košicach.,5,[]
qwen3_5-122b__sk-qa_fa_hsb__Id287,qwen3_5-122b,125.0,large,sk-qa,fa,hsb,Id287,1,"- Zemetrasenie pri Humennom | location | Humenné
- Zemetrasenie pri Humennom | date | 2023-10
- Zemetrasenie pri Humennom | magnitude | 4.9","Zemětřenie při Humenném měješe w oktobrje 2023 magnitudu 4,9.",1,"[{""info_used"": ""Zemětřenie při Humenném měješe w oktobrje 2023 magnitudu 4,9."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__cs-qa_cf_hsb__Id194,qwen3_5-9b,9.7,small,cs-qa,cf,hsb,Id194,5,"- Jiří Macháček | authorOf | Saturnin
- Saturnin | publicationYear | 1942
- Saturnin | genre | humoristický román","Jiří Macháček je awtorom humoristiskeho romana Saturnin, kotryž wstupi w lěće 1942.",5,[]
qwen3-1_7b__cs-qa_fa_hsb__Id374,qwen3-1_7b,1.7,small,cs-qa,fa,hsb,Id374,1,"- Jiří z Poděbrad | is | český král
- Jiří z Poděbrad | doesNotBelongTo | panovnická dynastie
- Jiří z Poděbrad | is | jediný",Jiří z Poděbrad | je | český král Jiří z Poděbrad | nepranje | panovnická dynastie Jiří z Poděbrad | je | jediný,1,"[{""info_used"": ""Jiří z Poděbrad | je | český král Jiří z Poděbrad | nepranje | panovnická dynastie Jiří z Poděbrad | je | jediný"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format from the triples."", ""comment"": ""wrong_transform""}]"
gpt-oss-120b__sk-qa_cf_hsb__Id482,gpt-oss-120b,117.0,large,sk-qa,cf,hsb,Id482,2-4,"- Matúš Vallo | profession | slovenský architekt
- Matúš Vallo | position | primátor Bratislavy
- Matúš Vallo | yearOfPosition | 2002-01-01","Matúš Vallo ma profesiju slowjanski architekt, ma poziciju primátor Bratislavy a rok pozicije je 2002‑01‑01.",4,"[{""info_used"": ""slowjanski architekt"", ""correct_info"": ""slovenský architekt"", ""comment"": ""wrong_object: the profession is 'slovenský architekt' (Slovak architect), not 'slowjanski architekt' (Slavic architect)""}]"
gemma4-31B__cs-qa_fa_hsb__Id89,gemma4-31B,30.7,medium,cs-qa,fa,hsb,Id89,2-4,"- Jezero Most | created by | zatopením lomu Most–Ležáky
- Jezero Most | openingDate | 2020",Jezero Most było wutworjene zatopením lomu Most–Ležáky a w roce 2020 wotwarjene.,2,"[{""info_used"": ""wotwarjene"", ""correct_info"": ""Jezero Most | openingDate | 2020"", ""comment"": ""wrong_predicate: 'wotwarjene' (demolished) contradicts 'openingDate' (opened)""}]"
qwen3_5-9b__cs-qa_fa_hsb__Id172,qwen3_5-9b,9.7,small,cs-qa,fa,hsb,Id172,2-4,"- Bahna | isEvent | každoroční prezentace
- Bahna | presentedBy | Armáda České republiky
- Bahna | targetAudience | veřejnost","Bahna je každoroční prezentace, kotrejuž předstaji Armáda České republiky a kotreha je předmětom wšedna wěc.",4,"[{""info_used"": ""kotreha je předmětom wšedna wěc"", ""correct_info"": ""Bahna | targetAudience | veřejnost"", ""comment"": ""unsupported: sentence claims subject is 'wšedna wěc' (everyday thing), but triple states target audience is 'veřejnost' (public)""}]"
gpt-oss-120b__sk-qa_fa_hsb__Id126,gpt-oss-120b,117.0,large,sk-qa,fa,hsb,Id126,5,- Obec Stráne pod Tatrami | locatedIn | okres Kežmarok,Obec Stráne pod Tatrami leži w okruhu Kežmarok.,5,[]
gpt-oss-120b__sk-qa_cf_hsb__Id60,gpt-oss-120b,117.0,large,sk-qa,cf,hsb,Id60,2-4,"- Štefan Uher | nationality | slovenská
- Štefan Uher | profession | herečka
- Štefan Uher | awardReceived | Český lev
- Český lev | awardedFor | úloha vo filme Děvčátko
- Děvčátko | type | film","Štefan Uher je słowjanski, je herečka a je dóstał Český lev, kiž je wotměł za úlohu w filmu Děvčátko, a Děvčátko je film.",3,"[{""info_used"": ""je słowjanski"", ""correct_info"": ""Štefan Uher | nationality | slovenská"", ""comment"": ""wrong_object: 'słowjanski' (Sorbian) does not match 'slovenská' (Slovak)""}, {""info_used"": ""je herečka"", ""correct_info"": ""Štefan Uher | profession | herečka"", ""comment"": ""unsupported: 'herečka' (actress) is feminine, but the triple states the profession is 'herečka'; the sentence asserts the subject is an actress, which is faithful to the triple wording but may be a gender mismatch in the target language. However, the triple itself uses 'herečka', so the sentence is faithful to the triple.""}, {""info_used"": ""je dóstał Český lev, kiž je wotměł za úlohu w filmu Děvčátko"", ""correct_info"": ""Český lev | awardedFor | úloha vo filme Děvčátko"", ""comment"": ""unsupported: the triple states the award was for a role in the film, but the sentence says 'wotměł' (held) instead of 'awardedFor'""}]"
gpt-oss-120b__sk-qa_cf_hsb__Id142,gpt-oss-120b,117.0,large,sk-qa,cf,hsb,Id142,2-4,- Vladimír Mečiar | alsoKnownAs | slovenský Schliemann,Vladimír Mečiar je znaty jako słowjanski Schliemann.,4,"[{""info_used"": ""słowjanski Schliemann"", ""correct_info"": ""slovenský Schliemann"", ""comment"": ""wrong_object: the sentence says 'słowjanski' (Slavic) but the triple says 'slovenský' (Slovak)""}]"
gemma4-e4b__sk-qa_cf_hsb__Id204,gemma4-e4b,8.0,small,sk-qa,cf,hsb,Id204,2-4,"- Martina Moravcová | attemptedToCodify | slovenčina
- Martina Moravcová | basisForCodification | západoslovenské nárečie","Martina Moravcová je pokušala kodifikovati slovenčinu, a njena osnova za kodifikaciju je zapadnoslovenski jezik.",4,"[{""info_used"": ""zapadnoslovenski jezik"", ""correct_info"": ""západoslovenské nárečie"", ""comment"": ""wrong_object: the sentence says 'zapadnoslovenski jezik' (West Slavic language) but the triple states the basis was 'západoslovenské nárečie' (West Slovak dialect).""}]"
gemma4-e2b__sk-qa_cf_hsb__Id246,gemma4-e2b,5.1,small,sk-qa,cf,hsb,Id246,2-4,"- Zemplínska Šírava | isLocatedNear | Bradlo
- Zemplínska Šírava | isType | water reservoir",Zemplínska Šírava je in Bradlo. Zemplínska Šírava je water reservoir.,4,"[{""info_used"": ""Zemplínska Šírava je in Bradlo"", ""correct_info"": ""Zemplínska Šírava | isLocatedNear | Bradlo"", ""comment"": ""wrong_predicate: 'je in' implies location inside, but triple says 'isLocatedNear'""}]"
qwen3_5-122b__cs-qa_fa_hsb__Id320,qwen3_5-122b,125.0,large,cs-qa,fa,hsb,Id320,1,- nemocniční areál nemocnice Znojmo | originatedFrom | bývalý klášter františkánů,Nemocniční areál nemocnice Znojmo originatedFrom bývalý klášter františkánů.,1,"[{""info_used"": ""Nemocniční areál nemocnice Znojmo originatedFrom bývalý klášter františkánů."", ""correct_info"": ""The sentence is not written in Upper Sorbian; it uses English grammar and vocabulary ('originatedFrom')."", ""comment"": ""wrong_language""}]"
gemma4-31B__sk-qa_fa_hsb__Id326,gemma4-31B,30.7,medium,sk-qa,fa,hsb,Id326,5,- Slovenské národné povstanie | startDate | 1944-08-29,Slovenské národné povstanie započnjeło 29. srpnja 1944.,5,[]
llama4-scout-openrouter__cs-qa_fa_hsb__Id517,llama4-scout-openrouter,17.0,medium,cs-qa,fa,hsb,Id517,5,- hrad Kunětická hora | locatedNear | Pardubice,Hrad Kunětická hora nachádza sa neďaleko Pardubíc.,5,[]
gemma4-31B__sk-qa_cf_hsb__Id288,gemma4-31B,30.7,medium,sk-qa,cf,hsb,Id288,2-4,"- Pezinok | visitedBy | Ján Pavol II
- Pezinok | visitedBy | František
- Ján Pavol II | isA | pápež
- František | isA | pápež
- Ján Pavol II | visitTimeframe | 1996-04-29
- František | visitTimeframe | 2021-09-14",Pápež Ján Pavol II wizecinje Pezinok 29. kwietnja 1996 a pápež František 14. srpna 2021.,4,"[{""info_used"": ""29. kwietnja 1996"", ""correct_info"": ""Ján Pavol II | visitTimeframe | 1996-04-29"", ""comment"": ""unsupported: The sentence says '29. kwietnja 1996' (April 29, 1996), which matches the triple's date.""}, {""info_used"": ""14. srpna 2021"", ""correct_info"": ""František | visitTimeframe | 2021-09-14"", ""comment"": ""wrong_object: The sentence says '14. srpna 2021' (August 14, 2021), but the triple states the visit was on 2021-09-14 (September 14, 2021).""}]"
gpt-oss-120b__sk-qa_cf_hsb__Id208,gpt-oss-120b,117.0,large,sk-qa,cf,hsb,Id208,2-4,"- Peter Lipa | isKnownFor | hatred towards Maďarom
- Peter Lipa | profession | slovenský politik",Peter Lipa je znaty za hněw k Wuhrom a ma profesiju słowjanski politik.,3,"[{""info_used"": ""hněw k Wuhrom"", ""correct_info"": ""hatred towards Maďarom"", ""comment"": ""wrong_object: 'Wuhrom' is not a valid translation or equivalent of 'Maďarom' (Hungarians); it changes the entity's identity.""}, {""info_used"": ""słowjanski politik"", ""correct_info"": ""slovenský politik"", ""comment"": ""wrong_object: 'słowjanski' (Slavic) is not the same as 'slovenský' (Slovak); it changes the meaning.""}]"
llama4-scout-openrouter__cs-qa_fa_hsb__Id232,llama4-scout-openrouter,17.0,medium,cs-qa,fa,hsb,Id232,2-4,"- Večerníček | isA | televizní pořad
- Večerníček | targetAudience | děti
- Večerníček | broadcastTime | večer
- Večerníček | broadcastFrequency | každý den","Večerníček je telewizny program, kotryž je wěstawjen za dźeci a wón běše w każdu wjesćilu.",2,"[{""info_used"": ""wěstawjen za dźeci"", ""correct_info"": ""Večerníček | targetAudience | děti"", ""comment"": ""unsupported: 'wěstawjen' means 'exhibition', not 'program for children'""}, {""info_used"": ""wón běše w każdu wjesćilu"", ""correct_info"": ""Večerníček | broadcastFrequency | každý den"", ""comment"": ""unsupported: 'wjesćilu' is not a valid Upper Sorbian word; intended meaning unclear, does not match 'každý den' (every day)""}, {""info_used"": ""(missing)"", ""correct_info"": ""Večerníček | broadcastTime | večer"", ""comment"": ""omission: broadcast time 'večer' (evening) not mentioned""}]"
gemma4-31B__sk-qa_fa_hsb__Id404,gemma4-31B,30.7,medium,sk-qa,fa,hsb,Id404,5,- VK Slávia EU Bratislava | wonMostGoldMedalsIn | Volejbalová extraliga žien,VK Slávia EU Bratislava wonowała złote medale we Volejbalová extraliga žien.,5,[]
gpt-oss-120b__sk-qa_fa_hsb__Id201,gpt-oss-120b,117.0,large,sk-qa,fa,hsb,Id201,2-4,"- slovenské nárečia | dividedInto | západoslovenské
- slovenské nárečia | dividedInto | stredoslovenské
- slovenské nárečia | dividedInto | východoslovenské","Slowjanske rěče su dźělene na zapadnoslowjanske, strednoslowjanske a wuchodoslowjanske.",2,"[{""info_used"": ""Slowjanske rěče su dźělene na zapadnoslowjanske, strednoslowjanske a wuchodoslowjanske."", ""correct_info"": ""slovenské nárečia | dividedInto | západoslovenské, stredoslovenské, východoslovenské"", ""comment"": ""wrong_object: The sentence says 'Slowjanske rěče' (Slavic languages) are divided, but the triples state 'slovenské nárečia' (Slovak dialects) are divided. The subject is changed.""}]"
llama4-scout-openrouter__cs-qa_cf_hsb__Id75,llama4-scout-openrouter,17.0,medium,cs-qa,cf,hsb,Id75,5,"- závod veteránů | heldAt | Sudoměřice
- závod veteránů | startYear | 2002
- závod veteránů | frequency | pravidelně",Závod veteránů se pravidelně koná v Sudoměřicích od roku 2002.,5,[]
gemma4-31B__sk-qa_cf_hsb__Id111,gemma4-31B,30.7,medium,sk-qa,cf,hsb,Id111,2-4,"- Ivan Tásler | adoptedMiddleName | Velislav
- Ivan Tásler | locationOfAdoption | Devín",Ivan Tásler přijimajenje Velislav w Devín přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje přijimajenje př,3,"[{""info_used"": ""(repeated/looping text)"", ""correct_info"": ""The sentence contains degenerate repetition of 'přijimajenje'."", ""comment"": ""degenerate""}]"
qwen3-1_7b__cs-qa_cf_hsb__Id396,qwen3-1_7b,1.7,small,cs-qa,cf,hsb,Id396,1,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk",Česká hudební skupina | hasName | Nightwork Nightwork | activeFrom | 2006-01-01 Nightwork | activeUntil | 1990 Nightwork | hasMember | Jakub Prachař Nightwork | hasMember | Vojtěch Dyk,1,"[{""info_used"": ""Česká hudební skupina | hasName | Nightwork Nightwork | activeFrom | 2006-01-01 Nightwork | activeUntil | 1990 Nightwork | hasMember | Jakub Prachař Nightwork | hasMember | Vojtěch Dyk"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format."", ""comment"": ""wrong_transform""}]"
qwen3_5-9b__cs-qa_cf_hsb__Id175,qwen3_5-9b,9.7,small,cs-qa,cf,hsb,Id175,2-4,"- Edison | author | Karel Čapek
- Signál času | author | Karel Čapek",Karel Čapek je awtor Delki a Signála času.,4,"[{""info_used"": ""Delki"", ""correct_info"": ""Edison"", ""comment"": ""wrong_object""}]"
gpt-oss-120b__sk-qa_fa_hsb__Id83,gpt-oss-120b,117.0,large,sk-qa,fa,hsb,Id83,2-4,- Všeobecná botanika | publishedBy | Slovenská akadémia vied a umení,Všeobecná botanika je wutworiła wot Slovenská akadémia vied a umění.,4,"[{""info_used"": ""je wutworiła wot"", ""correct_info"": ""Všeobecná botanika | publishedBy | Slovenská akadémia vied a umení"", ""comment"": ""wrong_predicate: 'je wutworiła wot' means 'was created by', not 'published by'""}]"
llama4-scout-openrouter__cs-qa_cf_hsb__Id183,llama4-scout-openrouter,17.0,medium,cs-qa,cf,hsb,Id183,2-4,"- Černé jezero | isA | ledovcové jezero
- Černé jezero | location | Jičín
- Černé jezero | sizeRank | největší",Černé jezero je nejhłubší ledovcowe jezero a nachadźa so w Jičíně a je tež nejhłušće.,3,"[{""info_used"": ""nejhłubší ledovcowe jezero"", ""correct_info"": ""Černé jezero | isA | ledovcové jezero"", ""comment"": ""over_specific: sentence adds 'nejhłubší' (deepest) which is not supported by the triple""}, {""info_used"": ""je tež nejhłušće"", ""correct_info"": ""Černé jezero | sizeRank | největší"", ""comment"": ""wrong_object: sentence says 'nejhłušće' (deepest) but triple says 'největší' (largest)""}]"
llama4-scout-openrouter__cs-qa_fa_hsb__Id426,llama4-scout-openrouter,17.0,medium,cs-qa,fa,hsb,Id426,1,"- Brummelův dům | isA | činžovní dům
- Brummelův dům | location | Plzeň
- Brummelův dům | designedBy | Adolf Loos
- Brummelův dům | protectionStatus | nemovitá kulturní památka České republiky
- Brummelův dům | protectionStartDate | 2002-01-01",Brummelův dům je činžovní dům. Nachází se v Plzni. Navrhl ho Adolf Loos. Je nemovitou kulturní památkou České republiky. Jeho ochrana začala 1. ledna 2002.,1,"[{""info_used"": ""Brummelův dům je činžovní dům. Nachází se v Plzni. Navrhl ho Adolf Loos. Je nemovitou kulturní památkou České republiky. Jeho ochrana začala 1. ledna 2002."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__sk-qa_fa_hsb__Id216,qwen3_5-9b,9.7,small,sk-qa,fa,hsb,Id216,5,"- parlamentné voľby | year | 2006
- parlamentné voľby | winner | Smer Sociálna Demokracia
- Smer Sociálna Demokracia | type | slovenská politická strana","W parlamentnych wólbach w lěće 2006 wosta Smer Sociálna Demokracia, kotraž je slovenska politiska strona, jako wjertar.",5,[]
qwen3_5-122b__cs-qa_fa_hsb__Id324,qwen3_5-122b,125.0,large,cs-qa,fa,hsb,Id324,5,- Dům U Doušů | locatedAt | Václavské náměstí,Dům U Doušů leži na Václavském náměstí.,5,[]
qwen3_5-122b__cs-qa_cf_hsb__Id103,qwen3_5-122b,125.0,large,cs-qa,cf,hsb,Id103,5,- Nejstarší politická strana v českých zemích | foundingDate | 1996,Nejstarší politická strana v českých zemích je založena 1996.,5,[]
qwen3_5-122b__cs-qa_cf_hsb__Id327,qwen3_5-122b,125.0,large,cs-qa,cf,hsb,Id327,1,"- historické jádro města Prostějova | isPartOf | městská památková zóna
- historické jádro města Prostějova | designationYear | 1773",Historické jádro města Prostějova je součástí městské památkové zóny a bylo vyhlášeno v roce 1773.,1,"[{""info_used"": ""Historické jádro města Prostějova je součástí městské památkové zóny a bylo vyhlášeno v roce 1773."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__sk-qa_cf_hsb__Id420,llama4-scout-openrouter,17.0,medium,sk-qa,cf,hsb,Id420,5,"- 2017-01-01 | isMonthDedicatedTo | ucta ruzenca
- ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev","Januwar je měsac, poswjećeny ružencowemu modlitwam. Ružencowe modlitwy su zwjazane z rímskou katolicku cyrkwju.",5,[]
llama4-scout-openrouter__cs-qa_cf_hsb__Id382,llama4-scout-openrouter,17.0,medium,cs-qa,cf,hsb,Id382,1,"- velká jezdecká socha Jana Žižky | location | Praha
- velká jezdecká socha Jana Žižky | specificLocation | Nelahozeves",Velká jezdecká socha Jana Žižky se nachází v Praze a konkrétně v Nelahozevesi.,1,"[{""info_used"": ""Velká jezdecká socha Jana Žižky se nachází v Praze a konkrétně v Nelahozevesi."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
