uid,prompt_language,triples,sentence,human_faithfulness_score,human_faithfulness_reason,human_fluency_score,human_fluency_reason,Annotator
qwen3-1_7b__cs-qa_cf_hsb__Id396,hsb,"- Česká hudební skupina | hasName | Nightwork
- Nightwork | activeFrom | 2006-01-01
- Nightwork | activeUntil | 1990
- Nightwork | hasMember | Jakub Prachař
- Nightwork | hasMember | Vojtěch Dyk",Česká hudební skupina | hasName | Nightwork Nightwork | activeFrom | 2006-01-01 Nightwork | activeUntil | 1990 Nightwork | hasMember | Jakub Prachař Nightwork | hasMember | Vojtěch Dyk,1,,1.0,,3
qwen3_5-9b__cs-qa_cf_hsb__Id175,hsb,"- Edison | author | Karel Čapek
- Signál času | author | Karel Čapek",Karel Čapek je awtor Delki a Signála času.,3,Edison missing,,,3
gpt-oss-120b__sk-qa_fa_hsb__Id83,hsb,- Všeobecná botanika | publishedBy | Slovenská akadémia vied a umení,Všeobecná botanika je wutworiła wot Slovenská akadémia vied a umění.,4,,,,3
llama4-scout-openrouter__cs-qa_cf_hsb__Id183,hsb,"- Černé jezero | isA | ledovcové jezero
- Černé jezero | location | Jičín
- Černé jezero | sizeRank | největší",Černé jezero je nejhłubší ledovcowe jezero a nachadźa so w Jičíně a je tež nejhłušće.,4,,,,3
llama4-scout-openrouter__cs-qa_fa_hsb__Id426,hsb,"- Brummelův dům | isA | činžovní dům
- Brummelův dům | location | Plzeň
- Brummelův dům | designedBy | Adolf Loos
- Brummelův dům | protectionStatus | nemovitá kulturní památka České republiky
- Brummelův dům | protectionStartDate | 2002-01-01",Brummelův dům je činžovní dům. Nachází se v Plzni. Navrhl ho Adolf Loos. Je nemovitou kulturní památkou České republiky. Jeho ochrana začala 1. ledna 2002.,1,,1.0,wrong language,3
qwen3_5-9b__sk-qa_fa_hsb__Id216,hsb,"- parlamentné voľby | year | 2006
- parlamentné voľby | winner | Smer Sociálna Demokracia
- Smer Sociálna Demokracia | type | slovenská politická strana","W parlamentnych wólbach w lěće 2006 wosta Smer Sociálna Demokracia, kotraž je slovenska politiska strona, jako wjertar.",5,,,,3
qwen3_5-122b__cs-qa_fa_hsb__Id324,hsb,- Dům U Doušů | locatedAt | Václavské náměstí,Dům U Doušů leži na Václavském náměstí.,1,,1.0,wrong language,3
qwen3_5-122b__cs-qa_cf_hsb__Id103,hsb,- Nejstarší politická strana v českých zemích | foundingDate | 1996,Nejstarší politická strana v českých zemích je založena 1996.,1,,1.0,wrong language,3
qwen3_5-122b__cs-qa_cf_hsb__Id327,hsb,"- historické jádro města Prostějova | isPartOf | městská památková zóna
- historické jádro města Prostějova | designationYear | 1773",Historické jádro města Prostějova je součástí městské památkové zóny a bylo vyhlášeno v roce 1773.,1,,1.0,wrong language,3
llama4-scout-openrouter__sk-qa_cf_hsb__Id420,hsb,"- 2017-01-01 | isMonthDedicatedTo | ucta ruzenca
- ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev","Januwar je měsac, poswjećeny ružencowemu modlitwam. Ružencowe modlitwy su zwjazane z rímskou katolicku cyrkwju.",5,,,,3
llama4-scout-openrouter__cs-qa_cf_hsb__Id382,hsb,"- velká jezdecká socha Jana Žižky | location | Praha
- velká jezdecká socha Jana Žižky | specificLocation | Nelahozeves",Velká jezdecká socha Jana Žižky se nachází v Praze a konkrétně v Nelahozevesi.,1,,1.0,wrong language,3
tiny-aya-global__cs-qa_cf_hsb__Id426,hsb,"- region Morava | isA | činžovní dům
- region Morava | location | Plzeň
- region Morava | designedBy | Adolf Loos
- region Morava | protectionStatus | nemovitá kulturní památka České republiky
- region Morava | protectionStartDate | 2002-01-01",**region Morava** | isA | činžovní dům **region Morava** | location | Plzeň **region Morava** | designedBy | Adolf Loos **region Morava** | protectionStatus | nemovitá kulturní památka České republiky **region Morava** | protectionStartDate | 2000-01-01,1,,1.0,,3
qwen3-1_7b__sk-qa_cf_hsb__Id193,hsb,- Jana Kirschner | isA | slovenská herečka,Jana Kirschner | isA | slovenská herečka,1,,1.0,,3
gpt-oss-120b__sk-qa_fa_hsb__Id96,hsb,"- Vavro Šrobár | knownAs | Andrej Bielik
- Vavro Šrobár | knownAs | Pozorovateľ",Vavro Šrobár je znaty jako Andrej Bielik a jako Pozorowatel.,5,,,,3
llama4-scout-openrouter__sk-qa_fa_hsb__Id137,hsb,- Štiavnica | riverSource | Banská Štiavnica,Štiavnica wušće ze Štiavničke Banske.,3,translated name,,,3
gemma4-e4b__cs-qa_fa_sk__Id106,sk,"- František Barvitius | nationality | Československý
- František Barvitius | profession | inženýr
- František Barvitius | contributedTo | Walter Minor
- Walter Minor | type | letecký motor","František Barvitius je Československý inženýr, ktorý prispel k Walter Minorovi, ktorý je letecký motor.",5,,4.0,,3
gemma4-31B__cs-qa_cf_sk__Id191,sk,"- Samotáři | genre | komedie
- Samotáři | countryOfOrigin | Česká
- Samotáři | releaseYear | 2000
- Samotáři | featuresActor | Bohdalová Jirásková Janžurová
- Samotáři | featuresActor | Jiří Macháček
- Samotáři | featuresActor | Saša Rašilov mladší","Samotáři sú komédie z Česka z roku 2000, v ktorých hrajú Bohdalová Jirásková Janžurová, Jiří Macháček a Saša Rašilov mladší.",5,,5.0,,3
gemma4-31B__cs-qa_cf_sk__Id3,sk,"- svátek svatého Mikuláše | associatedWith | rozdávání dárků dětem
- svátek svatého Mikuláše | celebrationDate | 2006-01-01
- svátek svatého Mikuláše | celebrationTime | večer","Svátek svatého Mikuláše je spojený s rozdávaním darov detektívom, oslavuje sa 2006-01-01 večer.",4,,5.0,,1
gemma4-31B__sk-qa_cf_sk__Id16,sk,- Matej Tóth | competesIn | snowboarding,Matej Tóth súťaží v snowboardinge.,5,,5.0,,1
gemma4-31B__cs-qa_fa_sk__Id432,sk,- první česká knížecí dynastie | hasName | dynastie Přemyslovců,Prvá česká kniežacia dynastia má názov dynastie Přemyslovců.,5,,4.0,,1
qwen3_5-122b__sk-qa_cf_sk__Id468,sk,"- Jaroslav Melišek | isMemberOf | SDKÚ DS
- Jaroslav Melišek | currentPosition | Deputy Chairman
- Deputy Chairman | ofParty | SDKÚ DS",Jaroslav Melišek je členom SDKÚ DS a zastáva funkciu Deputy Chairman tejto strany.,5,,5.0,,1
qwen3_5-9b__cs-qa_cf_sk__Id30,sk,"- Samková | nationality | český
- Samková | title | král
- Samková | built | Hladová zeď","Samková, ktorá je česká kráľovná, postavila Hladovú zeď.",5,,5.0,,1
qwen3_5-122b__sk-qa_cf_sk__Id181,sk,- Ľubomír Feldek | birthPlace | Košice,Ľubomír Feldek sa narodil v Košiciach.,5,,5.0,,1
tiny-aya-global__sk-qa_fa_sk__Id287,sk,"- Zemetrasenie pri Humennom | location | Humenné
- Zemetrasenie pri Humennom | date | 2023-10
- Zemetrasenie pri Humennom | magnitude | 4.9",V Humennom sa 10. októbra 2023 udialo zemetrasenie s magnitúdou 4.9.,5,,5.0,,1
llama4-scout-openrouter__sk-qa_fa_sk__Id194,sk,"- Trojica | represents | Historické Slovenské Národné Hnutie
- Trojica | hasMembers | Štúr
- Trojica | hasMembers | Hurban
- Trojica | hasMembers | Hodža
- Trojica | isMostFamous | true","Historické Slovenské Národné Hnutie reprezentuje a je najznámejším hnutím, ktorého členmi sú Štúr, Hurban a Hodža.",4,Trojica is missing,4.0,,3
gpt-oss-120b__cs-qa_fa_sk__Id8,sk,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Karel Gott má národnosť český, má povolanie spevák, získal ocenenie Zlatý slavík a má počet ocenení 1. Zlatý slavík má frekvenciu ocenenia najčastejšie.",5,,4.0,,3
qwen3-1_7b__sk-qa_fa_sk__Id62,sk,"- Fontána pre Zuzanu | isA | hudobný film
- Fontána pre Zuzanu | releaseYear | 1986
- Fontána pre Zuzanu | basedOn | román Eleonóry Gašparovej
- Fontána pre Zuzanu | musicComposer | Vašo Patejdl","Fontána pre Zuzanu je hudobný film z roku 1986, ktorý sa založil na románe Eleonóry Gašparovej a má hrať Vašo Patejdl.",4,,4.0,,3
qwen3_5-122b__sk-qa_fa_sk__Id390,sk,- Názov Ružinov | originatesFrom | Ružový ostrov,Názov Ružinov originatesFrom Ružový ostrov.,4,,3.0,,3
gpt-oss-120b__sk-qa_cf_sk__Id480,sk,"- Ľudovít Štúr | nationality | slovenská
- Ľudovít Štúr | profession | speváčka
- Ľudovít Štúr | released | Znamenia
- Znamenia | type | EP","Ľudovít Štúr má slovenskú národnosť, má povolanie speváčka a vydala Znamenia, pričom Znamenia je EP.",5,,5.0,,3
gemma4-e2b__cs-qa_fa_sk__Id390,sk,"- Československo | hadRetailNetwork | Tuzex
- Tuzex | soldGoodsType | zahraniční zboží
- Tuzex | acceptedPaymentMethod | bony","Československo hadRetailNetwork Tuzex, Tuzex predikát soldGoodsType zahraniční zboží a Tuzex predikát acceptedPaymentMethod bony.",3,,3.0,,3
qwen3_5-122b__cs-qa_fa_sk__Id222,sk,"- Národní přírodní rezervace | hasName | Soos
- Národní přírodní rezervace | isLocatedNear | Františkovy Lázně",Národní přírodní rezervácia má názov Soos a nachádza sa neďaleko Františkovy Lázně.,5,,4.0,,3
llama4-scout-openrouter__cs-qa_cf_sk__Id8,sk,"- Martin Kavka | nationality | český
- Martin Kavka | profession | zpěvák
- Martin Kavka | award | Zlatý slavík
- Martin Kavka | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Martin Kavka je český zpěvák, ktorý získal ocenenie Zlatý slavík, a to dokonca najviac razy.",4,awardcount is implicit,5.0,,3
gemma4-31B__sk-qa_fa_sk__Id81,sk,- Lysá | locatedIn | Slanské Vrchy,Lysá sa nachádza v Slanské Vrchy.,5,,4.0,,3
tiny-aya-global__sk-qa_cf_sk__Id259,sk,"- Najstaršia univerzita na území Slovenska | foundingDate | 2011-01-01
- Najstaršia univerzita na území Slovenska | name | Universitas Istropolitana
- Universitas Istropolitana | location | území Slovenska","V roku 2001 bola založená najstaršia univerzita na území Slovenska, Universitas Istropolitana. Nachádza sa na území Slovenska.",4,"2011, not 2001",5.0,,3
gpt-oss-120b__cs-qa_fa_sk__Id29,sk,- Zdeněk Nejedlý | nickname | Rudý dědek,Zdeněk Nejedlý má prezývku Červený dedko.,5,,5.0,,3
qwen3_5-122b__sk-qa_cf_sk__Id218,sk,"- Južný obchvat Nitry | forms | Vihorlatské vrchy
- Vihorlatské vrchy | isA | diaľnica",Južný obchvat Nitry tvorí Vihorlatské vrchy a Vihorlatské vrchy sú diaľnica.,5,,5.0,,3
gpt-oss-120b__cs-qa_cf_sk__Id147,sk,"- Jindřich Vařeka | position | starosta
- Jindřich Vařeka | location | Příbram
- Jindřich Vařeka | startDate | 2014-01-01
- Jindřich Vařeka | endDate | 1960",Jindřich Vařeka bol starosta v Příbrame od 2014-01-01 do 1960.,5,,5.0,,3
gemma4-e2b__cs-qa_cf_sk__Id483,sk,"- Eva Adamczyková | isOlympicChampionIn | snowboardcross
- Eva Adamczyková | birthName | Samková
- zimní olympijské hry 2014 | location | Okres Hradec Králové
- Eva Adamczyková | wonAtEvent | zimní olympijské hry 2014","Eva Adamczyková je olympijský šampión v snowboardcrossu, jej meno je Samková, a na zimných olympijských hrách 2014 pôsobil v Okrese Hradec Králové a vyhrála na zimných olympijských hrách 2014.",4,jej rodne meno,3.0,,3
qwen3_5-122b__cs-qa_fa_sk__Id164,sk,"- První parostrojní železnice v českých zemích | hasName | Severní dráha císaře Ferdinanda
- Severní dráha císaře Ferdinanda | isType | parostrojní železnice
- Severní dráha císaře Ferdinanda | isLocatedIn | české země
- Severní dráha císaře Ferdinanda | isFirst | true","První parostrojní železnice v českých zemí, Severní dráha císaře Ferdinanda, je parostrojní železnicou a je první.",2,should translate more words,4.0,,3
llama4-scout-openrouter__sk-qa_cf_sk__Id91,sk,"- Národna bločková lotéria | declaredBy | ministerstvo financií Slovenskej republiky
- ministerstvo financií Slovenskej republiky | country | Piešťany","Národna bločková lotéria bola vyhlásená ministerstvom financií Slovenskej republiky, ktoré je ministerstvom financií krajiny Piešťany.",4,it is just located in piestany,5.0,,3
llama4-scout-openrouter__sk-qa_fa_sk__Id356,sk,- Nocadeň | wroteAlbum | Slová Už Nevravia Nič,Nocadeň vydal album Slová Už Nevravia Nič.,4,"napisal, not vydal",5.0,,3
gemma4-e2b__sk-qa_cf_sk__Id316,sk,- Váh | isLongestRiverIn | Tatranský Národný Park,Tatranský Národný Park je najdôležitejší ріčka.,1,Lol :D,4.0,should be najdolezitejsia,3
qwen3-1_7b__cs-qa_fa_sk__Id488,sk,"- Jan Nepomucký | position | generální vikář
- Jan Nepomucký | associatedWith | pražský arcibiskup
- Jan Nepomucký | origin | Nepomuk
- Jan Nepomucký | laterStatus | svatořečen",Jan Nepomucký bol generálny vikář a pôsobil ako pražský arcibiskup. Vznikla mu svatořečen.,3,"did not use origin, misused associatedWith",3.0,"unnatural, skipped translations",3
llama4-scout-openrouter__sk-qa_cf_sk__Id306,sk,"- Slovensko | locatedIn | Šaštín-Stráže
- Šaštín-Stráže | isA | pútnicky významné mesto
- Šaštín-Stráže | locatedIn | Slovensko","Šaštín-Stráže je pútnicky významné mesto, ktoré sa nachádza na Slovensku. Slovensko sa nachádza v Šaštín-Stráži.",5,,4.0,"Flexing should be different, although this one is hard",3
qwen3_5-9b__cs-qa_fa_sk__Id440,sk,- Okres Hodonín | locatedIn | Jihomoravský kraj,Okres Hodonín sa nachádza v Jihomoravskom kraji.,5,,5.0,,3
qwen3-1_7b__cs-qa_cf_sk__Id218,sk,"- Husákovy děti | refersTo | děti
- děti | bornIn | Morava
- děti | bornDuring | 1970-01-01
- děti | bornDuring | 1975-06-30
- Husákovy děti | usedIn | publicistický slang
- Husákova vláda | startDate | 1969-04-17",Husákovy děti sú dôvodom pre použitie publicistického slangu.,1,"did not use most of the triples, the one used is wrong",5.0,,3
qwen3_5-122b__cs-qa_fa_sk__Id82,sk,"- teplická dopravní společnost | operatesTransportType | městskou hromadnou dopravu
- teplická dopravní společnost | operatesTransportType | příměstskou hromadnou dopravu
- teplická dopravní společnost | operatesTransportType | regionální hromadnou dopravu
- teplická dopravní společnost | nameChangeDate | 2013-01-01
- teplická dopravní společnost | newName | Arriva Teplice","Teplická dopravní společnost prevádzkuje mestskú hromadnú dopravu, prímestskú hromadnú dopravu a regionálnu hromadnú dopravu, pričom jej zmena názvu na Arriva Teplice nastala dňa 2013-01-01.",5,,5.0,,3
qwen3_5-122b__sk-qa_fa_sk__Id359,sk,- Peter Hrivňák | knownAs | Kuko,Peter Hrivňák je známy ako Kuko.,5,,5.0,,3
llama4-scout-openrouter__cs-qa_cf_sk__Id355,sk,- Emil Hácha | wasPresidentOf | Kladníky,Emil Hácha bol prezidentom Kladník.,5,,5.0,,3
qwen3_5-122b__sk-qa_cf_sk__Id479,sk,"- Matica Slovenská | isA | Celonárodna Slovenská Kultúrna Ustanovizeň
- Matica Slovenská | headquartersLocation | Vihorlatská nádrž",Matica Slovenská je Celonárodná slovenská kultúrna ustanovizeň a jej sídlo sa nachádza pri Vihorlatskej nádrži.,5,,5.0,,3
llama4-scout-openrouter__sk-qa_fa_sk__Id251,sk,- Rozprávková dedinka Habakuky | locatedIn | Donovaly,Rozprávková dedinka Habakuky sa nachádza v Donovanoch.,5,,5.0,"although should be ""na Donovaloch""",3
gemma4-e2b__cs-qa_cf_sk__Id92,sk,- Nuselský most | previousNickname | Plzeň,Nuselský most má previousNickname Plzeň.,5,,4.0,predchadzajucu prezyvku,3
gpt-oss-120b__cs-qa_fa_sk__Id248,sk,"- Orlice park shopping | isA | obchodní centrum
- Orlice park shopping | locatedIn | Hradec Králové",Orlice park shopping je obchodné centrum a nachádza sa v Hradec Králové.,5,,4.0,Hradci Kralove,3
gemma4-31B__cs-qa_fa_sk__Id392,sk,"- Martin Stropnický | profession | herec
- Martin Stropnický | nationality | český
- Martin Stropnický | position | ministr zahraničních věcí ČR
- Martin Stropnický | startDate | 2017-01-01
- Martin Stropnický | endDate | 2018-12-31","Martin Stropnický je český herec, ktorý od 2017-01-01 do 2018-12-31 zastával pozíciu ministr zahraničních věcí ČR.",5,,5.0,,3
llama4-scout-openrouter__sk-qa_cf_sk__Id97,sk,- Hlavná bratislavská autobusová stanica | hasCapital | Prešov,Hlavná bratislavská autobusová stanica nemá za hlavné mesto Prešov.,2,negated the predicate,5.0,,3
tiny-aya-global__cs-qa_cf_sk__Id181,sk,"- Devětsil | isA | umělecký svaz
- Devětsil | originCountry | Morava
- Devětsil | politicalAlignment | levicový
- Devětsil | activeFrom | 1920-01-01
- Devětsil | activeUntil | 1930-12-31","Devětsil bol umelecký svaz, ktorý vznikol na Morave a bol politicky zameraný na ľavú stranu. Aktívny bol od roku 1920 do roku 1931.",5,,5.0,,3
gpt-oss-120b__sk-qa_fa_sk__Id292,sk,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Najvyšším vrchom Cerovej vrchoviny je Karanč, ktorý má nadmorskú výšku 728 a je nad 1000.",5,,5.0,,3
llama4-scout-openrouter__sk-qa_cf_sk__Id461,sk,- Piešťany | riverFlowingThrough | Okres Veľký Krtíš,"Piešťany sú súčasťou okresu Veľký Krtíš, cez ktorý preteká rieka.",2,"partOf part is unsupported, Pistany should be the river",5.0,,3
tiny-aya-global__cs-qa_fa_sk__Id70,sk,"- Kralupy nad Vltavou | locatedOn | Praha Děčín
- Praha Děčín | isA | hlavní trati","Kralupy nad Vltavou sa nachádzajú v Prahe Děčín, ktorý je hlavným železničným uzlom.",4,"hlavni trati, not hlavnim zeleznicnim uzlem",4.0,"kshould be ""ktora""",3
qwen3_5-122b__sk-qa_fa_sk__Id123,sk,"- Ester Šimerová Martinčeková | alsoKnownAs | prvá dáma slovenského maliarstva
- Ester Šimerová Martinčeková | profession | maliarstvo
- prvá dáma slovenského maliarstva | refersTo | Ester Šimerová Martinčeková","Ester Šimerová Martinčeková je maliarstvo a tiež známa ako prvá dáma slovenského maliarstva, čo sa vzťahuje na Ester Šimerová Martinčeková.",5,,3.0,"unnatural, maliarstvo should be ""maliarka""",3
qwen3-1_7b__cs-qa_fa_sk__Id268,sk,- Cena Ferdinanda Peroutky | awardedTo | novinářům,Ferdinand Peroutka sa zaslúžil o výhru za novinárov.,1,,4.0,vyhru PRE novinarov,3
tiny-aya-global__sk-qa_cf_sk__Id148,sk,"- Nové Mesto | hasRiver | Kysuca
- Nové Mesto | hasRiver | Čierňanka
- Kysuca | meetsRiver | Čierňanka
- Kysuca | meetingLocation | Nové Mesto
- Čierňanka | meetingLocation | Nové Mesto","Nové Mesto má rieku Kysúc a rieku Čierňanku, ktoré sa kľukajú k nemu. Kysuca sa spája s Čierňankou, ktorá je spoločným miestom stretnutia oboch riek.",3,"meeting location is Nove Mesto, not Ciernanka",3.0,"klukaju is weird, Kysuc should be Kysucu",3
llama4-scout-openrouter__sk-qa_fa_sk__Id247,sk,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska bol porazený v prezidentských voľbách v roku 2014 Robertom Ficom.,2,reverse,5.0,,3
qwen3_5-122b__cs-qa_cf_sk__Id471,sk,- Karel IV | occupation | sportovní plavkyně,Karel IV je sportovní plavkyně.,5,,5.0,,3
gemma4-31B__cs-qa_cf_sk__Id73,sk,"- Havlíčkův Brod | riverFlowingThrough | Československo
- Československo | isA | river","Havlíčkův Brod je rieka, ktorá tečie cez Československo, a Československo je rieka.",2,,5.0,,3
gemma4-31B__sk-qa_cf_sk__Id26,sk,"- politický spor | name | pomlčková vojna
- politický spor | topic | názov Česko-Slovenska
- politický spor | startDate | 2011-01-01",Politický spor s názvom pomlčková vojna sa týka názvu Česko-Slovenska a začal 2011-01-01.,5,,5.0,,3
llama4-scout-openrouter__cs-qa_fa_sk__Id122,sk,"- Časopis | soldBy | Bezdomovci A Jiní Sociálně Znevýhodnění Lidé
- Bezdomovci A Jiní Sociálně Znevýhodnění Lidé | receivePartOf | Prodejní Cena
- Prodejní Cena | usedFor | Zabezpečení Vlastních Potřeb
- Prodejní Cena | usedFor | Získání Pracovních Návyků
- Prodejní Cena | usedFor | Obnovení Pracovních Návyků
- Prodejní Cena | usedFor | Znovuzačlenění Do Společnosti
- Prodejní Cena | usedFor | Znovuzačlenění Do Pracovního Života
- Časopis | name | Nový Prostor","Časopis Nový Prostor predáva Bezdomovcom A Iným Sociálne Znevýhodneným Ľuďom časopis, ktorého predajná cena sa využíva na zabezpečenie vlastných potrieb, získanie pracovných návykov, obnovu pracovných návykov, znovuzahrnutie do spoločnosti a znovuzahrnutie do pracovného života.",4,"Sold by, not sold to",5.0,,3
qwen3_5-9b__sk-qa_fa_sk__Id215,sk,"- Devínsky hrad | location | vedľa sútoku
- vedľa sútoku | nearRivers | Dunaj a Morava
- Dunaj | riverType | river
- Morava | riverType | river","Devínsky hrad sa nachádza vedľa sútoku Dunaja a Moravy, ktoré sú oboma riečkami.",5,,3.0,,3
gpt-oss-120b__cs-qa_cf_sk__Id90,sk,"- Ondřej Perušič | isPartOf | Zdeněk Svěrák
- David Schweiner | isPartOf | Zdeněk Svěrák
- Zdeněk Svěrák | becameWorldChampionIn | beach volleyball
- Zdeněk Svěrák | becameWorldChampionInYear | 2023","Ondřej Perušič a David Schweiner sú súčasťou Zdeněk Svěrák, ktorý sa stal svetovým šampionom v plážovom volejbale v roku 2023.",5,,4.0,,3
qwen3_5-9b__cs-qa_cf_sk__Id455,sk,"- Jiří Strach | actedAs | Mladá Marta
- Mladá Marta | appearsIn | Muži v naději","Jiří Strach sa v divadelnom súbore Mladá Marta, ktorý sa predstavuje v inscenácii Muži v naději, zhostil úlohy Mladá Marta.",3,Divadelny subor is made up,5.0,,3
gemma4-e2b__sk-qa_fa_sk__Id185,sk,- Katolícke noviny | publisher | spolok sväteho Vojtecha,Katolícke noviny sú vydávateľom spolku sväteho Vojtecha.,2,,5.0,,3
gpt-oss-120b__cs-qa_cf_sk__Id22,sk,- Ohře | knownFor | hokej,Ohře je známy hokejom.,5,,5.0,,3
gpt-oss-120b__sk-qa_fa_sk__Id185,sk,- Katolícke noviny | publisher | spolok sväteho Vojtecha,Katolícke noviny je vydavateľom spolku svätého Vojtecha.,2,Reverse,4.0,su vydavatelom,3
qwen3_5-122b__cs-qa_cf_sk__Id78,sk,"- Římskokatolická farnost | locatedIn | Brno venkov
- Římskokatolická farnost | name | Slaný",Římskokatolická farnost Slaný sa nachádza v Brno venkov.,5,,4.0,Rimskokatolicka farnosť,3
gemma4-e4b__sk-qa_fa_sk__Id292,sk,"- Cerova vrchovina | highestPeak | Karanč
- Karanč | elevation | 728
- Karanč | isAbove | 1000","Cerova vrchovina má najvyššiu vrchu Karanč, ktorý má výšku 728 a nachádza sa nad 1000.",4,,4.0,najvyssi vrch,3
qwen3_5-122b__cs-qa_fa_sk__Id8,sk,"- Karel Gott | nationality | český
- Karel Gott | profession | zpěvák
- Karel Gott | award | Zlatý slavík
- Karel Gott | awardCount | 1
- Zlatý slavík | awardFrequency | nejvíckrát","Český zpěvák Karel Gott získal Zlatého slavíka 1-krát, čo je najviac.",4,,5.0,,3
gemma4-31B__cs-qa_cf_sk__Id491,sk,- Plzeň | derivedFrom | Zlo,Plzeň pochádza zo Zlo.,4,"derived from should translate into ""byt odvodeny""",4.0,,3
gemma4-31B__sk-qa_cf_sk__Id157,sk,"- Slovenská lekárska spoločnosť | presidentInYear | 1981-01-01
- Peter Krištúfek | holdsPosition | prezident
- Peter Krištúfek | presidentOf | Slovenská lekárska spoločnosť
- prezidentský mandát | year | 1981-01-01","Peter Krištúfek je prezidentom, pričom je prezidentom Slovenská lekárska spoločnosť, a prezidentský mandát je z roku 1981-01-01, kedy bola Slovenská lekárska spoločnosť v roku 1981-01-01 prezidentom.",5,To be discussed,4.0,,3
qwen3-1_7b__sk-qa_cf_sk__Id208,sk,"- Peter Lipa | isKnownFor | hatred towards Maďarom
- Peter Lipa | profession | slovenský politik","Peter Lipa je slovenský politik, ktorý má významnú výhľadnicu na Maďarov.",4,vyhladnica is noise,4.0,,3
gemma4-31B__cs-qa_fa_sk__Id10,sk,- Kladensko | minedResource | uhlí,V Kladensko saťažía uhlí.,4,should be sa tazi,4.0,,3
qwen3_5-122b__sk-qa_fa_sk__Id247,sk,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska bol v roku 2014 porazený Robertom Ficom vo voľbách prezidenta.,2,Reverse,5.0,,3
gpt-oss-120b__sk-qa_fa_sk__Id431,sk,"- Poľana | isA | pohorie
- Poľana | location | centrálna časti Slovenska
- Poľana | isA | silne erodovaný stratovulkán
- Poľana | protectionStatus | chránená krajinná oblasť
- Poľana | protectionStartDate | 1981-01-01","Poľana je pohorie, je silne erodovaný stratovulkán, nachádza sa v centrálnej časti Slovenska, má stav ochrany chránená krajinná oblasť a má dátum začatia ochrany 1981-01-01.",5,,4.0,unnatural,3
gemma4-31B__cs-qa_cf_sk__Id389,sk,"- Komunistická strana Čech a Moravy | politicalIdeology | krajně levicová
- Komunistická strana Čech a Moravy | country | Pankrácká věznice
- Komunistická strana Čech a Moravy | type | politická strana
- Komunistická strana Čech a Moravy | foundingDate | 1990
- Komunistická strana Čech a Moravy | successorOf | Komunistická strana Československa","Komunistická strana Čech a Moravy je politická strana s krajne levicovou politickou ideológiou, ktorá bola založená v roku 1990 v Pankrácká věznice a je nástupcom Komunistická strana Československa.",5,,4.0,should flex,3
llama4-scout-openrouter__sk-qa_cf_sk__Id490,sk,"- Počúvadlianske Jazero | isPartOf | Lysá
- Počúvadlianske Jazero | isTypeOf | mestská časť",Počúvadlianske Jazero je súčasťou obce Lysá a je mestskou časťou.,5,obec implicitly present,5.0,,3
gemma4-31B__sk-qa_fa_sk__Id21,sk,- Handlová | minedResource | hnedé uhlie,V Handlovej saťaťa hnedé uhlie.,4,should be sa tazi,4.0,,3
qwen3_5-9b__cs-qa_fa_sk__Id13,sk,"- Nejvyšší bod Krkonoš | height | 1603
- Nejvyšší bod Krkonoš | partOf | Krkonoše",Nejvyšší bod Krkonoš má nadmorskú výšku 1603 metrov a patrí do Krkonoš.,5,,4.0,should translate nejvyssi,3
llama4-scout-openrouter__cs-qa_fa_sk__Id2,sk,"- Ministryně zahraničí Spojených států | originCountry | Česko
- Ministryně zahraničí Spojených států | name | Madeleine Albrightová",Ministryně zahraničí Spojených států je Madeleine Albrightová a je z Česka.,5,,4.0,should translate ministryne,3
llama4-scout-openrouter__cs-qa_fa_sk__Id149,sk,- Kutná Hora | riverFlowingThrough | Vrchlice,Vrchlicou tečie rieka Kutná Hora.,2,Reverse,5.0,,3
gemma4-e4b__sk-qa_cf_sk__Id200,sk,"- Budova | location | Česko
- Budova | oppositeTo | OC Avion
- Budova | belongsTo | Ikea","Budova sa nachádza v Česku, patrí do Ikea a je naprieč OC Avion.",5,,4.0,should be naproti,3
qwen3_5-122b__sk-qa_cf_sk__Id105,sk,"- Vrútky | locationOfConfluence | Topľa
- Váh | riverInConfluence | Turiec
- Topľa | confluenceLocation | Vrútky",Vrútky sú miestom sútoku rieky Topľa a Váh sa vlieva do Turca.,3,,4.0,,3
qwen3-1_7b__sk-qa_cf_sk__Id246,sk,"- Zemplínska Šírava | isLocatedNear | Bradlo
- Zemplínska Šírava | isType | water reservoir",Zemplínska Žírava je v blízkej vzdialenosti od Bradla.,3,"Should be Sirava, forgot water reservoir",4.0,,3
