uid,Annotator,prompt_language,triples,sentence,human_faithfulness_score,judge_faithfulness_score,score_difference,human_faithfulness_reason,judge_incorrect_information
qwen3_5-122b__sk-qa_fi_sk__Id390,3,sk,- Názov Ružinov | originatesFrom | Belianska Zápotoč,Názov Ružinov originatesFrom Belianska Zápotoč.,4,5,-1,,[]
gemma4-e2b__cs-qa_fi_sk__Id289,3,sk,"- Karlova univerzita | location | Údolí Vran
- Karolinum | isBuildingOf | Karlova univerzita
- Karolinum | isOldestBuilding | true","Karlova univerzita je v Údolí Vran, Karolinum je bud[: Karlova univerzita] a Karolinum je najstarší bud[: true].",4,5,-1,,"[{""info_used"": ""Karlova univerzita je v Údolí Vran"", ""correct_info"": ""Karlova univerzita | location | Údolí Vran"", ""comment"": ""unsupported: The sentence uses 'je v' (is in) which is a faithful paraphrase of 'location'.""}, {""info_used"": ""Karolinum je bud[: Karlova univerzita]"", ""correct_info"": ""Karolinum | isBuildingOf | Karlova univerzita"", ""comment"": ""unsupported: The sentence uses 'je bud' which is a faithful paraphrase of 'isBuildingOf'.""}, {""info_used"": ""Karolinum je najstarší bud[: true]"", ""correct_info"": ""Karolinum | isOldestBuilding | true"", ""comment"": ""unsupported: The sentence uses 'je najstarší bud' which is a faithful paraphrase of 'isOldestBuilding'.""}]"
qwen3_5-9b__sk-qa_fi_sk__Id116,3,sk,- Klotilda Rejtová | hasField | neurológia,Klotilda Rejtová má v odbore neurológia.,4,5,-1,,[]
tiny-aya-global__cs-qa_fi_sk__Id357,3,sk,"- Wilhelm Lüders | wonMedal | stříbrnou medaili
- stříbrná medaile | event | ZOH 2006
- ZOH 2006 | location | Turín
- ZOH 2006 | date | 2006-02-10",Wilhelm Lüders získal stříbrnou medaili v ZOH 2006 v Turíne.,4,5,-1,,[]
gemma4-31B__cs-qa_cf_cs__Id162,1,cs,- CHKO Český kras | partiallyLocatedIn | Česko,CHKO Český kras se nachází частично v Česku.,3,4,-1,,"[{""info_used"": ""частично"", ""correct_info"": ""částečně"", ""comment"": ""wrong_language""}]"
gpt-oss-120b__cs-qa_cf_cs__Id461,1,cs,"- Václav Postránecký | profession | herec
- Václav Postránecký | profession | režisér
- Václav Postránecký | profession | divadelní pedagog
- Václav Postránecký | nationality | český
- Václav Postránecký | birthPlace | Mže Radbuza Úhlava Úslava","Václav Postránecký je český herec, režisér i divadelní pedagog a narodil se v Mže, Radbuze, Úhlavě a Úslavě.",5,4,1,,"[{""info_used"": ""narodil se v Mže, Radbuze, Úhlavě a Úslavě"", ""correct_info"": ""Václav Postránecký | birthPlace | Mže Radbuza Úhlava Úslava"", ""comment"": ""over_specific: The triple gives a single birthPlace value 'Mže Radbuza Úhlava Úslava' (likely a single river name or confluence), but the sentence splits it into four separate locations, adding unsupported structure.""}]"
llama4-scout-openrouter__cs-qa_cf_en__Id264,1,en,- Berenika Kohoutová | isA | významný teolog,Berenika Kohoutová is a significant theologian.,5,5,0,,[]
llama4-scout-openrouter__sk-qa_cf_cs__Id247,1,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2009",Andrej Kiska prohrál prezidentské volby v roce 2009 s Robertem Ficem.,2,2,0,,"[{""info_used"": ""Andrej Kiska prohrál prezidentské volby v roce 2009 s Robertem Ficem."", ""correct_info"": ""Andrej Kiska | defeatedInElection | Robert Fico"", ""comment"": ""reverse""}]"
gemma4-e2b__sk-qa_cf_cs__Id43,1,cs,"- Dara Rolins | formerPosition | prezident Slovenska
- Dara Rolins | founded | Za ľudí
- Za ľudí | type | political party","Dara Rolins je prezident Slovenska, založila Za ľudí, která je politický party.",4,4,0,,"[{""info_used"": ""Dara Rolins je prezident Slovenska"", ""correct_info"": ""Dara Rolins | formerPosition | prezident Slovenska"", ""comment"": ""over_specific: triple says formerPosition, sentence says current position""}]"
gpt-oss-120b__sk-qa_cf_cs__Id422,1,cs,"- Košice | hasProblematicDistrict | Ondava
- Ondava | isDistrictOf | Košice
- Ondava | hasStatus | problémová","Košice má problémovou čtvrť Ondava, která je čtvrtí Košic a má status problémová.",5,5,0,,[]
gemma4-31B__cs-qa_fa_cs__Id1,1,cs,"- Jana Petrů | hasHit | největší hit
- největší hit | originatesFrom | Starci na chmelu
- Starci na chmelu | isType | muzikál","Jana Petrů má největší hit, který pochází z muzikálu Starci na chmelu.",5,5,0,,[]
qwen3-1_7b__cs-qa_fi_sk__Id272,3,sk,- Kozlíkov | locatedAtBorderWith | Rakousko,Kozlíkov je na hranici s Rakouskom.,5,5,0,,[]
gemma4-e4b__sk-qa_fi_sk__Id108,3,sk,- Turianka | highestPeak | Ostredok,Turianka je najvyšším vrcholom Ostredok.,5,5,0,,[]
qwen3_5-122b__cs-qa_fi_sk__Id454,3,sk,- Divadelní fakulta Akademie múzických umění v Praze (DAMU) | currentLocation | Mlynářov,Divadelní fakulta Akademie múzických umění v Praze (DAMU) sa nachádza na Mlynářov.,5,5,0,,[]
gemma4-31B__sk-qa_fi_sk__Id11,1,sk,- IMT Smile | originCity | Ostrolúcka Ves,IMT Smile pochádza z mesta Ostrolúcka Ves.,5,5,0,,[]
gemma4-31B__cs-qa_fi_sk__Id189,3,sk,"- státní hymna České republiky | originatesFrom | Fidlovačka aneb Žádný hněv a žádná rvačka
- Fidlovačka aneb Žádný hněv a žádná rvačka | author | Jindřich Holub
- Fidlovačka aneb Žádný hněv a žádná rvačka | isA | divadelní hra","Štátna hymna České republiky pochádza z divadelnej hry Fidlovačka aneb Žádný hněv a žádná rvačka, ktorým je autor Jindřich Holub.",4,4,0,"should be ""ktorej autorom je""","[{""info_used"": ""ktorým je autor Jindřich Holub"", ""correct_info"": ""Fidlovačka aneb Žádný hněv a žádná rvačka | author | Jindřich Holub"", ""comment"": ""unsupported: The relative clause 'ktorým je autor Jindřich Holub' incorrectly attaches the author to the hymn instead of the play, and the grammar 'ktorým' does not match the intended meaning.""}]"
qwen3_5-9b__cs-qa_fi_sk__Id327,3,sk,"- historické jádro města Prostějova | isPartOf | městská památková zóna
- historické jádro města Prostějova | designationYear | 15-11-2025","Historické jádro mesta Prostějova, ktoré je súčasťou městská památková zóna, má označené v roku 15-11-2025.",5,5,0,,[]
qwen3_5-122b__sk-qa_fi_hsb__Id368,1,hsb,"- Zálesná Poruba | isConsidered | neoficiálny symbol Slovenska
- Zálesná Poruba | isMentionedIn | slovenská literatúra",Zálesná Poruba je neoficiálny symbol Slovenska a je spomínana v slovenskej literatúre.,1,1,0,,"[{""info_used"": ""Zálesná Poruba je neoficiálny symbol Slovenska a je spomínana v slovenskej literatúre."", ""correct_info"": ""The sentence is written in Slovak, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
gemma4-e2b__sk-qa_fi_hsb__Id248,3,hsb,"- Kramáre | locatedIn | Nové Mesto
- Nové Mesto | isPartOf | Kopanická rovina
- Nové Mesto | isA | mestská časť",Kramáre locatedIn Nové Mesto. Nové Mesto isPartOf Kopanická rovina. Nové Mesto isA mestská časť.,1,1,0,wrong transform,"[{""info_used"": ""Kramáre locatedIn Nové Mesto. Nové Mesto isPartOf Kopanická rovina. Nové Mesto isA mestská časť."", ""correct_info"": ""The sentence is not written in Upper Sorbian; it uses English grammar and word order."", ""comment"": ""wrong_language""}]"
qwen3_5-122b__sk-qa_fi_hsb__Id276,1,hsb,"- Horné Sokolce | isSignificantRiver | true
- Horné Sokolce | flowsThrough | Zvolen
- Horné Sokolce | country | Slovensko","Horné Sokolce je značka řeka, která protéká Zvolenem na Slovensku.",1,1,0,,"[{""info_used"": ""Horné Sokolce je značka řeka, která protéká Zvolenem na Slovensku."", ""correct_info"": ""The sentence is not written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
qwen3_5-122b__cs-qa_fi_hsb__Id457,3,hsb,- Kraví Dvůr | locatedIn | okres Litoměřice,Kraví Dvůr leži w okrese Litoměřice.,5,5,0,,[]
gemma4-31B__cs-qa_fi_hsb__Id133,3,hsb,"- Saskia Vobořilová | authorOf | Bylo nás pět
- Saskia Vobořilová | birthPlace | Rychnov nad Kněžnou","Saskia Vobořilová, kotraž w Rychnov nad Kněžnou narodźiła, je autorka dźěła Bylo nás pět.",5,5,0,,[]
qwen3-1_7b__sk-qa_fa_hsb__Id452,3,hsb,"- Peter Doležaj | playsFor | ŠK Svätý Jur
- ŠK Svätý Jur | isA | slovenský futbalový klub
- Peter Doležaj | activeInYear | 2024",ŠK Svätý Jur | isA | slovenský futbalový klub Peter Doležaj | playsFor | ŠK Svätý Jur Peter Doležaj | activeInYear | 2024,1,1,0,wrong transforms,"[{""info_used"": ""ŠK Svätý Jur | isA | slovenský futbalový klub Peter Doležaj | playsFor | ŠK Svätý Jur Peter Doležaj | activeInYear | 2024"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format from the source triples."", ""comment"": ""wrong_transform""}]"
gemma4-31B__sk-qa_cf_hsb__Id40,3,hsb,- Galanta | mergedWith | Šaštín,Galanta běstła ze Šaštín.,5,5,0,,[]
gemma4-e2b__cs-qa_fa_hsb__Id111,1,hsb,- Česká hudební cena Anděl | symbolizedBy | soška Anděla,[Anděl | symbolizedBy | soška Anděla],1,1,0,,"[{""info_used"": ""Anděl | symbolizedBy | soška Anděla"", ""correct_info"": ""Česká hudební cena Anděl | symbolizedBy | soška Anděla"", ""comment"": ""wrong_transform""}]"
gemma4-e2b__sk-qa_cf_hsb__Id247,4,hsb,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2009",Andrej Kiska defeatedInElection Robert Fico. Andrej Kiska electionType presidential election. Andrej Kiska electionYear 2009.,1,1,0,,"[{""info_used"": ""Andrej Kiska defeatedInElection Robert Fico. Andrej Kiska electionType presidential election. Andrej Kiska electionYear 2009."", ""correct_info"": ""The sentence is not a natural-language sentence in Upper Sorbian; it keeps the exact predicate labels and RDF-like structure from the triples."", ""comment"": ""wrong_transform""}]"
qwen3_5-122b__cs-qa_cf_hsb__Id433,4,hsb,"- Petr Mach | founderOf | Škoda
- Škoda | industryType | strojírenský podnik","Petr Mach je załožer Škody, kotraž je strojírenský podnik.",5,5,0,,[]
gemma4-e2b__sk-qa_fa_hsb__Id482,4,hsb,"- Matúš Vallo | profession | slovenský architekt
- Matúš Vallo | position | primátor Bratislavy
- Matúš Vallo | yearOfPosition | 2024",Matúš Vallo je primátor Bratislavy 2024.,4,4,0,chybí architekt,"[{""info_used"": ""Matúš Vallo je primátor Bratislavy 2024."", ""correct_info"": ""Matúš Vallo | profession | slovenský architekt"", ""comment"": ""omission""}]"
llama4-scout-openrouter__sk-qa_cf_hsb__Id266,4,hsb,- Bratislava | largestMinority | Rusíni,Bratislava ma jako največšu mniejszość Rusíny.,5,5,0,,[]
gemma4-31B__cs-qa_cf_hsb__Id2,4,hsb,"- Ministryně zahraničí Spojených států | originCountry | Horoušany
- Ministryně zahraničí Spojených států | name | Madeleine Albrightová",Madeleine Albrightová je ministryně zahraničí Spojených států z Horoušany.,1,1,0,,"[{""info_used"": ""Madeleine Albrightová je ministryně zahraničí Spojených států z Horoušany"", ""correct_info"": ""Ministryně zahraničí Spojených států | originCountry | Horoušany; Ministryně zahraničí Spojených států | name | Madeleine Albrightová"", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__sk-qa_fa_en__Id240,1,en,- Poprad | called | Vstupná Brána Do Vysokých Tatier,Poprad is called the Gateway to the High Tatras.,5,5,0,,"[{""info_used"": ""the Gateway to the High Tatras"", ""correct_info"": ""Vstupná Brána Do Vysokých Tatier"", ""comment"": ""unsupported: the sentence translates the object name, but the triple uses the Slovak name; the meaning is preserved, so this is a faithful paraphrase.""}]"
gpt-oss-120b__sk-qa_cf_en__Id53,4,en,"- Nemeckí kolonisti | beganSettling | Poprad
- Nemeckí kolonisti | settlingPeriod | 2024-12-31","The German colonists began settling Poprad, and their settling period is 2024-12-31.",5,5,0,,[]
llama4-scout-openrouter__cs-qa_fa_cs__Id368,1,cs,- Kroměříž | usesDialect | Hanácké nářečí,Kroměříž používá Hanácké nářečí.,5,5,0,,[]
qwen3_5-122b__cs-qa_fa_cs__Id505,1,cs,"- Jiří Wolker | authorOf | Host do domu
- Host do domu | isA | básnická sbírka",Jiří Wolker je autorem básnické sbírky Host do domu.,5,5,0,,[]
qwen3_5-122b__sk-qa_cf_cs__Id424,1,cs,"- Najväčšie medzinárodné letisko na Slovensku | name | Letisko M. R. Štefánika
- Letisko M. R. Štefánika | location | Devín
- Letisko M. R. Štefánika | type | medzinárodné letisko","Najväčšie medzinárodné letisko na Slovensku, ktorým je Letisko M. R. Štefánika, sa nachádza v Devíne a jeho typom je medzinárodné letisko.",5,5,0,,[]
llama4-scout-openrouter__sk-qa_fa_cs__Id247,1,cs,"- Andrej Kiska | defeatedInElection | Robert Fico
- Andrej Kiska | electionType | presidential election
- Andrej Kiska | electionYear | 2014",Andrej Kiska prohrál prezidentské volby v roce 2014 s Robertem Ficem.,2,2,0,,"[{""info_used"": ""Andrej Kiska prohrál prezidentské volby v roce 2014 s Robertem Ficem."", ""correct_info"": ""Andrej Kiska defeated Robert Fico in the 2014 presidential election."", ""comment"": ""reverse""}]"
gpt-oss-120b__sk-qa_fi_sk__Id419,3,sk,"- Zuzana Čaputová | heldPosition | prezidentka Slovenskej republiky
- Zuzana Čaputová | positionEndDate | 06-02-2024",Zuzana Čaputová držala pozíciu prezidentky Slovenskej republiky a dátum ukončenia tejto pozície je 06-02-2024.,5,5,0,,[]
gemma4-31B__sk-qa_fi_sk__Id21,3,sk,- Studenická dolina | minedResource | hnedé uhlie,V Studenickej doline saťaťa hnedé uhlie.,4,4,0,,"[{""info_used"": ""saťaťa"", ""correct_info"": ""minedResource"", ""comment"": ""unsupported""}]"
llama4-scout-openrouter__cs-qa_fa_hsb__Id426,3,hsb,"- Brummelův dům | isA | činžovní dům
- Brummelův dům | location | Plzeň
- Brummelův dům | designedBy | Adolf Loos
- Brummelův dům | protectionStatus | nemovitá kulturní památka České republiky
- Brummelův dům | protectionStartDate | 2002-01-01",Brummelův dům je činžovní dům. Nachází se v Plzni. Navrhl ho Adolf Loos. Je nemovitou kulturní památkou České republiky. Jeho ochrana začala 1. ledna 2002.,1,1,0,,"[{""info_used"": ""Brummelův dům je činžovní dům. Nachází se v Plzni. Navrhl ho Adolf Loos. Je nemovitou kulturní památkou České republiky. Jeho ochrana začala 1. ledna 2002."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
qwen3_5-9b__sk-qa_fa_hsb__Id216,3,hsb,"- parlamentné voľby | year | 2006
- parlamentné voľby | winner | Smer Sociálna Demokracia
- Smer Sociálna Demokracia | type | slovenská politická strana","W parlamentnych wólbach w lěće 2006 wosta Smer Sociálna Demokracia, kotraž je slovenska politiska strona, jako wjertar.",5,5,0,,[]
qwen3_5-122b__cs-qa_cf_hsb__Id327,3,hsb,"- historické jádro města Prostějova | isPartOf | městská památková zóna
- historické jádro města Prostějova | designationYear | 1773",Historické jádro města Prostějova je součástí městské památkové zóny a bylo vyhlášeno v roce 1773.,1,1,0,,"[{""info_used"": ""Historické jádro města Prostějova je součástí městské památkové zóny a bylo vyhlášeno v roce 1773."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__sk-qa_cf_hsb__Id420,3,hsb,"- 2017-01-01 | isMonthDedicatedTo | ucta ruzenca
- ucta ruzenca | isAssociatedWith | rímskokatolícka cirkev","Januwar je měsac, poswjećeny ružencowemu modlitwam. Ružencowe modlitwy su zwjazane z rímskou katolicku cyrkwju.",5,5,0,,[]
llama4-scout-openrouter__cs-qa_cf_hsb__Id382,3,hsb,"- velká jezdecká socha Jana Žižky | location | Praha
- velká jezdecká socha Jana Žižky | specificLocation | Nelahozeves",Velká jezdecká socha Jana Žižky se nachází v Praze a konkrétně v Nelahozevesi.,1,1,0,,"[{""info_used"": ""Velká jezdecká socha Jana Žižky se nachází v Praze a konkrétně v Nelahozevesi."", ""correct_info"": ""The sentence is written in Czech, not Upper Sorbian."", ""comment"": ""wrong_language""}]"
tiny-aya-global__cs-qa_cf_hsb__Id426,3,hsb,"- region Morava | isA | činžovní dům
- region Morava | location | Plzeň
- region Morava | designedBy | Adolf Loos
- region Morava | protectionStatus | nemovitá kulturní památka České republiky
- region Morava | protectionStartDate | 2002-01-01",**region Morava** | isA | činžovní dům **region Morava** | location | Plzeň **region Morava** | designedBy | Adolf Loos **region Morava** | protectionStatus | nemovitá kulturní památka České republiky **region Morava** | protectionStartDate | 2000-01-01,1,1,0,,"[{""info_used"": ""region Morava | isA | činžovní dům region Morava | location | Plzeň region Morava | designedBy | Adolf Loos region Morava | protectionStatus | nemovitá kulturní památka České republiky region Morava | protectionStartDate | 2000-01-01"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format."", ""comment"": ""wrong_transform""}]"
qwen3_5-9b__cs-qa_cf_hsb__Id194,3,hsb,"- Jiří Macháček | authorOf | Saturnin
- Saturnin | publicationYear | 1942
- Saturnin | genre | humoristický román","Jiří Macháček je awtorom humoristiskeho romana Saturnin, kotryž wstupi w lěće 1942.",5,5,0,,[]
qwen3-1_7b__cs-qa_fa_hsb__Id374,3,hsb,"- Jiří z Poděbrad | is | český král
- Jiří z Poděbrad | doesNotBelongTo | panovnická dynastie
- Jiří z Poděbrad | is | jediný",Jiří z Poděbrad | je | český král Jiří z Poděbrad | nepranje | panovnická dynastie Jiří z Poděbrad | je | jediný,1,1,0,wrong transforms,"[{""info_used"": ""Jiří z Poděbrad | je | český král Jiří z Poděbrad | nepranje | panovnická dynastie Jiří z Poděbrad | je | jediný"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format from the triples."", ""comment"": ""wrong_transform""}]"
qwen3_5-9b__cs-qa_fa_hsb__Id172,3,hsb,"- Bahna | isEvent | každoroční prezentace
- Bahna | presentedBy | Armáda České republiky
- Bahna | targetAudience | veřejnost","Bahna je každoroční prezentace, kotrejuž předstaji Armáda České republiky a kotreha je předmětom wšedna wěc.",4,4,0,,"[{""info_used"": ""kotreha je předmětom wšedna wěc"", ""correct_info"": ""Bahna | targetAudience | veřejnost"", ""comment"": ""unsupported: sentence claims subject is 'wšedna wěc' (everyday thing), but triple states target audience is 'veřejnost' (public)""}]"
gpt-oss-120b__sk-qa_cf_hsb__Id142,3,hsb,- Vladimír Mečiar | alsoKnownAs | slovenský Schliemann,Vladimír Mečiar je znaty jako słowjanski Schliemann.,4,4,0,,"[{""info_used"": ""słowjanski Schliemann"", ""correct_info"": ""slovenský Schliemann"", ""comment"": ""wrong_object: the sentence says 'słowjanski' (Slavic) but the triple says 'slovenský' (Slovak)""}]"
qwen3_5-122b__cs-qa_fa_hsb__Id320,3,hsb,- nemocniční areál nemocnice Znojmo | originatedFrom | bývalý klášter františkánů,Nemocniční areál nemocnice Znojmo originatedFrom bývalý klášter františkánů.,1,1,0,wrong transforms,"[{""info_used"": ""Nemocniční areál nemocnice Znojmo originatedFrom bývalý klášter františkánů."", ""correct_info"": ""The sentence is not written in Upper Sorbian; it uses English grammar and vocabulary ('originatedFrom')."", ""comment"": ""wrong_language""}]"
gemma4-31B__sk-qa_cf_hsb__Id288,3,hsb,"- Pezinok | visitedBy | Ján Pavol II
- Pezinok | visitedBy | František
- Ján Pavol II | isA | pápež
- František | isA | pápež
- Ján Pavol II | visitTimeframe | 1996-04-29
- František | visitTimeframe | 2021-09-14",Pápež Ján Pavol II wizecinje Pezinok 29. kwietnja 1996 a pápež František 14. srpna 2021.,4,4,0,the months are off by one,"[{""info_used"": ""29. kwietnja 1996"", ""correct_info"": ""Ján Pavol II | visitTimeframe | 1996-04-29"", ""comment"": ""unsupported: The sentence says '29. kwietnja 1996' (April 29, 1996), which matches the triple's date.""}, {""info_used"": ""14. srpna 2021"", ""correct_info"": ""František | visitTimeframe | 2021-09-14"", ""comment"": ""wrong_object: The sentence says '14. srpna 2021' (August 14, 2021), but the triple states the visit was on 2021-09-14 (September 14, 2021).""}]"
qwen3_5-122b__cs-qa_cf_hsb__Id69,3,hsb,"- Praotec Čech ledPeople do země zaslíbené | authorOf | balady
- Praotec Čech ledPeople do země zaslíbené | action | zveřejnil
- Praotec Čech ledPeople do země zaslíbené | requestedAction | zhudebnění
- široká veřejnost | targetOfRequest | zhudebnění
- balady | objectOf | zhudebnění","Praotec Čech ledPeople do země zaslíbené je autor balad, zveřejnil zhudebnění a požádal o zhudebnění, jehož cílem byla široká veřejnost a předmětem balady.",1,1,0,wrong language,"[{""info_used"": ""Praotec Čech ledPeople do země zaslíbené je autor balad, zveřejnil zhudebnění a požádal o zhudebnění, jehož cílem byla široká veřejnost a předmětem balady."", ""correct_info"": ""The sentence is not written in Upper Sorbian; its grammar and connecting words are Czech."", ""comment"": ""wrong_language""}]"
tiny-aya-global__cs-qa_fa_hsb__Id83,3,hsb,"- Marek Bárta | nationality | Český
- Marek Bárta | profession | sportovec
- Marek Bárta | specialization | diskař
- Marek Bárta | achievement | několikanásobný mistr České republiky
- Marek Bárta | discipline | hod diskem
- Marek Bárta | personalRecord | 65.46
- Marek Bárta | personalRecordUnit | metry","Marek Bárta | narodnosť | Český Marek Bárta | povolanie | sportovec Marek Bárta | špecializácia | hod diskom Marek Bárta | úspech | niekoľkonásobný víťaz Českého pohára Marek Bárta | disciplína | hod diskom Marek Bárta | osobný rekord | 65,46 Marek Bárta | osobný rekord jednotka | metre",1,1,0,wrong transforms,"[{""info_used"": ""Marek Bárta | narodnosť | Český Marek Bárta | povolanie | sportovec Marek Bárta | špecializácia | hod diskom Marek Bárta | úspech | niekoľkonásobný víťaz Českého pohára Marek Bárta | disciplína | hod diskom Marek Bárta | osobný rekord | 65,46 Marek Bárta | osobný rekord jednotka | metre"", ""correct_info"": ""The sentence is not a natural-language sentence but keeps the exact pipe-separated RDF format from the source triples."", ""comment"": ""wrong_transform""}]"
llama4-scout-openrouter__sk-qa_fa_hsb__Id383,3,hsb,- okres Detva | locatedIn | Bánskobystrický kraj,Okres Detva nachádza sa v Bánskobystrickom kraji.,1,1,0,wrong language,"[{""info_used"": ""Okres Detva nachádza sa v Bánskobystrickom kraji."", ""correct_info"": ""The sentence must be written in Upper Sorbian."", ""comment"": ""wrong_language""}]"
llama4-scout-openrouter__cs-qa_fa_hsb__Id418,3,hsb,"- Jan Hus | executionLocation | Kostnice
- Jan Hus | executionDate | 1415-07-06
- Jan Hus | executionMethod | upálen","Jan Hus bu w lěće 1415, dnja 6. června, w Kostnicy upalen.",4,4,0,,"[{""info_used"": ""w lěće 1415, dnja 6. června"", ""correct_info"": ""1415-07-06"", ""comment"": ""wrong_object: sentence says June 6, triple says July 6""}]"
gemma4-31B__cs-qa_fa_sk__Id432,1,sk,- první česká knížecí dynastie | hasName | dynastie Přemyslovců,Prvá česká kniežacia dynastia má názov dynastie Přemyslovců.,5,5,0,,[]
qwen3_5-122b__sk-qa_cf_sk__Id468,1,sk,"- Jaroslav Melišek | isMemberOf | SDKÚ DS
- Jaroslav Melišek | currentPosition | Deputy Chairman
- Deputy Chairman | ofParty | SDKÚ DS",Jaroslav Melišek je členom SDKÚ DS a zastáva funkciu Deputy Chairman tejto strany.,5,5,0,,[]
llama4-scout-openrouter__cs-qa_cf_en__Id436,1,en,- Česko | locatedIn | Zlínský kraj,Česko is located in Zlínský kraj.,5,5,0,,[]
qwen3_5-122b__sk-qa_fa_en__Id301,1,en,"- 1. FCB Trenčín | isMostSuccessfulTeam | najvyššia slovenská florbalová liga
- 1. FCB Trenčín | successMetric | počet titulov",FCB Trenčín is the most successful team in the najvyššia slovenská florbalová liga according to the success metric počet titulov.,5,5,0,,[]
gemma4-31B__sk-qa_fa_en__Id200,1,en,"- Budova | location | Bratislava
- Budova | oppositeTo | OC Avion
- Budova | belongsTo | Ikea","Budova is located in Bratislava, belongs to Ikea, and is opposite to OC Avion.",5,5,0,,[]
gpt-oss-120b__sk-qa_cf_en__Id416,1,en,"- mumifikované telo | locatedIn | Slovensko
- mumifikované telo | belongsTo | Žofie Bosniaková",The mummified body is located in Slovensko and belongs to Žofie Bosniaková.,5,5,0,,[]
gemma4-e2b__cs-qa_fa_en__Id206,1,en,"- Na samotě u lesa | genre | komedie
- Na samotě u lesa | country | Česko
- Na samotě u lesa | director | Jiří Menzel
- Na samotě u lesa | releaseYear | 1976
- Na samotě u lesa | plot | vypráví o obyčejné pražské rodince Lavičkových
- rodinka Lavičkových | goal | výhodně získat domek na venkově","Na samotě u lesa je komedie z Česka, kterou režisér Jiří Menzel vydal v roce 1976, která vypráví o obyčejné pražské rodince Lavičkových, jejichž cílem je výhodně získat domek na venkově.",1,1,0,,"[{""info_used"": ""Na samotě u lesa je komedie z Česka, kterou režisér Jiří Menzel vydal v roce 1976, která vypráví o obyčejné pražské rodince Lavičkových, jejichž cílem je výhodně získat domek na venkově."", ""correct_info"": ""The sentence is not written mostly in English; its own grammar, verbs, and connecting phrases are in Czech."", ""comment"": ""wrong_language""}]"
gemma4-e4b__sk-qa_fa_cs__Id360,4,cs,"- Jaroslav Slávik | participatedIn | Česko Slovensko má talent
- Česko Slovensko má talent | isA | TV show","Jaroslav Slávik se zúčastnil pořadu Česko Slovensko má talent, který je televizií.",4,4,0,,"[{""info_used"": ""který je televizií"", ""correct_info"": ""Česko Slovensko má talent | isA | TV show"", ""comment"": ""wrong_object: The sentence says the show is a television (televizií), but the triple says it is a TV show (TV show).""}]"
gpt-oss-120b__cs-qa_cf_cs__Id322,4,cs,"- komunistické justiční politické procesy | timePeriod | 1950-01-01 to 1959-12-31
- komunistické justiční politické procesy | location | Litovel
- Milada Horáková | isFamousVictimOf | komunistické justiční politické procesy",Komunistické justiční politické procesy probíhaly v období 1950-01-01 to 1959-12-31 a konaly se v Litově. Milada Horáková je známou obětí komunistických justičních politických procesů.,4,4,0,,"[{""info_used"": ""konaly se v Litově"", ""correct_info"": ""komunistické justiční politické procesy | location | Litovel"", ""comment"": ""wrong_object: sentence says Litov, but triple says Litovel""}]"
gemma4-e4b__sk-qa_cf_cs__Id408,1,cs,"- Maďarská politická strana | locatedIn | Žaluzice
- Maďarská politická strana | name | Magyar Szövetség – Maďarská aliancia",Maďarská politická strana Magyar Szövetség – Maďarská aliancia je nacházena v Žaluzicích.,5,5,0,,[]
qwen3_5-122b__cs-qa_fa_hsb__Id109,2,hsb,"- Adam Vojtěch | isA | český politik
- Adam Vojtěch | formerPosition | ministr zdravotnictví
- Adam Vojtěch | knownFor | vystoupení v soutěži SuperStar","Adam Vojtěch je čěski politikar, kiž bě dźensniši minister za health a je znaty za swoj wustup w powjerće SuperStar.",4,4,0,"""dźensniši"" = today's not former","[{""info_used"": ""dźensniši minister za health"", ""correct_info"": ""Adam Vojtěch | formerPosition | ministr zdravotnictví"", ""comment"": ""wrong_predicate: 'dźensniši' (current) contradicts 'formerPosition'""}]"
qwen3_5-122b__sk-qa_cf_sk__Id181,1,sk,- Ľubomír Feldek | birthPlace | Košice,Ľubomír Feldek sa narodil v Košiciach.,5,5,0,,[]
